Class 1
('PRNMCHLD', 0.61068668080159283)
('PRPERTYP', 2.0)
('PRPTREA', 0.50382043648338859)
('PRTAGE', 58.854973883046647)
('PRTFAGE', 0.022900818829696273)
('PRUNEDUR', 9.0458258599600967)
('PRWKSCH', 1.0305368473363323)
('PRWKSTAT', 3.8320679286057722)
('PRWNTJOB', 0.16030088734773257)
('PTDTRACE', 1.5419860456361452)
('PTERNH1O', 1.7134392890601757)
('PTERNHLY', 1.7134392890601797)
('PTERNWA', 90.946479858971557)
('PTHR', 0.0076336062765654245)
('PTIO1OCD', 3166.6488941298653)
('PTIO2OCD', 31.221452093382652)
('PTWK', 0.0076336062765654245)
('PUABSOT', 0.22137427226500636)
('PUBUSCK1', 0.93129512128084047)
('PUBUSCK3', 0.076335753010263283)
('PUCHINHH', 8.6641213238311199)
('PUHRCK1', 0.14504094148481375)
('PUHRCK12', 0.16794176031451002)
('PUHRCK2', 1.2748146704164964)
('PUHRCK3', 1.0687073009492301)
('PUHRCK6', 0.31298027956925306)
('PUHRCK7', 0.90076796286479066)
('PUIO1MFG', 1.4045859771181086)
('PUIOCK1', 0.52672125531308489)
('PULAY', 0.061068540457132434)
('PULINENO', 1.5190837152381986)
('PULKM2', 0.045804059889463213)
('PUSLFPRX', 1.4351140461959793)
('PUWK', 1.9694640633254885)
('PWCMPWGT', 2826.9879116340239)
('PWFMWGT', 2744.791316108593)
('PWLGWGT', 1925.022399356201)
('PWORWGT', 2415.4512309598172)
('PWSSWGT', 2821.5529959357209)
('PWSUPWGT', 3613.1554025152764)
('PWVETWGT', 2842.153154322998)


Class 2
('GEREG', 2.5657818459504851)
('GESTCEN', 52.966915573985801)
('GESTFIPS', 30.579005169997618)
('GTCBSA', 27012.421394515)
('GTCBSASZ', 3.4802701973102139)
('GTCO', 61.290534237064385)
('GTINDVPC', 0.36842815066579704)
('GTMETSTA', 1.1710559270948369)
('HEFAMINC', 8.6118405290419684)
('HEHOUSUT', 1.1052651859045151)
('HES1A', 1.1710559270878265)
