Class 1
('PWORWGT', 3488.1955953978782)
('PWSSWGT', 2455.51107563301)
('PWSUPWGT', 3170.9142727128033)
('PWVETWGT', 2319.5070497137253)


Class 2
('GEREG', 2.7666669614990145)
('GESTCEN', 57.250009382730262)
('GESTFIPS', 25.916670479903686)
('GTCBSA', 25325.10507199512)
('GTCBSASZ', 3.3000000960627576)
('GTCO', 39.161126948041037)
('GTINDVPC', 0.13888894629434909)
('GTMETSTA', 1.2222223122181921)
('HEFAMINC', 8.7111094657418615)
('HEHOUSUT', 1.2944445661440045)
('HES1A', 1.1555556198496773)
('HES1B', 1.7333332241227501)
('HES1C', 1.3944445965193766)
('HES1D', 1.9222221900751615)
('HES8B', 1.7166677436724471)
('HES9', 1.0333333452578699)
('HESC3', 1.3277775119105601)
('HESC3A', 0.23333304038721903)
('HESC4', 1.4888886776482859)
('HETENURE', 1.6055557938937199)
('HETS2O', 112.42776248117347)
('HETS3O', 20.899992534304364)
('HETS4O', 13.877783816203825)
('HETS5O', 1.8777789463956898)
('HETS6O', 19.96109527055086)
('HETS7O', 1.6833344424069321)
('HETS8CO', 34.744459117429301)
('HETS8DO', 1.8277789465530605)
('HETS8O', 126.48331575837769)
('HETS8OU', 116.73893633960667)
('HETSP3O', 89.41114242574973)
('HHSUPWGT', 2810.4118724268656)
('HRHHID', 700307780421410.38)
('HRHHID2', 91595.5391164139)
('HRHTYPE', 4.0055567977425826)
('HRNUMHOU', 3.4277775321895394)
('HRPOOR', 1.411110879661603)
('HRSUPINT', 1.0)
('HUBUS', 1.9722222107411291)
('HUFINAL', 173.22229101164839)
('HWHHWGT', 2301.221187585038)
('HWHHWTLN', 1.1833333990146946)
('OCCURNUM', 1.5833335643423416)
('PEAFEVER', 1.7499998966701675)
('PEAFNOW', 1.9499999793340324)
('PECYC', 0.51111012471384409)
('PEDISDRS', 1.9166666322233874)
('PEDISEAR', 1.9166666322233874)
('PEDISEYE', 1.9166666322233874)
('PEDISOUT', 1.9055555165221412)
('PEDISPHY', 1.8666666115597219)
('PEDISREM', 1.8833332851150444)
('PEEDUCA', 39.149999655086972)
('PEERNHRO', 4.2555577277783803)
('PEERNPER', 0.30000053731515941)
('PEERNWKP', 5.7722250213127326)
('PEFNTVTY', 92.155567764727721)
('PEHRACT1', 21.494453741833475)
('PEHRACT2', 0.39444502079532051)
('PEHRACTT', 22.78889872129686)
('PEHRUSL1', 23.344454506474278)
('PEHRUSLT', 21.561120436054765)
('PEHSPNON', 1.8333332735499086)
('PEIO1COW', 3.0388884898000166)
('PEIO1ICD', 5204.8226793250278)
('PEIO2ICD', 260.98344161611527)
('PELKDUR', 3.0999951447372789)
('PEMARITL', 3.9222234299691277)
('PEMJOT', 0.8666674381961097)
('PEMLR', 2.3444437601667061)
('PEMNTVTY', 96.894458612302586)
('PENATVTY', 78.900006730406758)
('PERRP', 2.727778471711479)
('PESCHENR', 1.2055552272038943)
('PESEX', 2.0)
('PRCHLD', 2.3166643180521853)
('PRCITFLG', 0.11666671488725791)
('PRCITSHP', 1.3277778768423298)
('PRCIVLF', 1.1166667148849558)
('PRCOW1', 2.9166662189151107)
('PRDISFLG', 1.8055554751902059)
('PRDTCOW1', 5.0055551445461832)
('PREDUCA4', 2.5333331505649519)
('PREDUCA5', 2.8166665991526543)
('PREMPHRS', 10.616671054740374)
('PREMPNOT', 1.594444276815886)
('PRERELG', 0.29444456614403186)
('PREXPLF', 0.77777727261673313)
('PRFAMNUM', 0.78333324378310898)
('PRFTLF', 0.82222214874783039)
('PRHRUSL', 2.2444457854361026)
('PRINUYER', 1.5555561074658897)
('PRMARSTA', 4.6666681820867533)
('PRMJIND1', 6.2666675399640797)
('PRMJOCC1', 3.4222215848163158)
('PRMLR', 1.4611108883756077)
('PRNLFSCH', 1.3166663842387025)
('PRNMCHLD', 0.85555507347100546)
('PRPERTYP', 1.9833333264446775)
('PRPTREA', 0.44444504146128821)
('PRTAGE', 41.394445132769853)
('PRTFAGE', 0.0055555578517741859)
('PRUNEDUR', 3.1555507232550211)
('PRWKSCH', 1.2888881816604685)
('PRWKSTAT', 4.2611083258209836)
('PTDTRACE', 1.4555557438448075)
('PTERN', 0.70122251618413123)
('PTERNH1O', 2.0008341644496688)
('PTERNH2', 0.12716672336030471)
('PTERNHLY', 2.1380008878099743)
('PTERNWA', 221.15481363388241)
('PTIO1OCD', 3943.6770180327248)
('PTIO2OCD', 169.20562590480571)
('PUBUSCK1', 0.083332541137922767)
('PUCHINHH', 8.5555553718580644)
('PUHRCK1', 0.82222297538191613)
('PUHRCK12', 0.91666745886207734)
('PUHRCK2', 2.6722237400227038)
('PUHRCK3', 2.5555570251354456)
('PUHRCK5', 0.62222289271804543)
('PUHRCK6', 1.2888898349309421)
('PUHRCK7', 2.32222359536093)
('PUHROFF1', 0.4111116943506265)
('PUHROT1', 0.4166672522024007)
('PUIO1MFG', 2.4000005447401191)
('PUIOCK1', 1.9777790085509361)
('PUIOCK2', 1.0388897316011036)
('PUIOCK3', 0.64444512412513666)
('PUIODP1', 0.066667107540632473)
('PUIODP2', 0.41111169435062633)
('PULINENO', 1.5833335643423416)
('PUSLFPRX', 1.2333330183280184)
('PUWK', 1.2777774792647574)
('PWCMPWGT', 2355.2389413565979)
('PWFMWGT', 2373.0442783820108)
('PWLGWGT', 2760.3942323684792)
('PWORWGT', 3565.909082747517)
('PWSSWGT', 2373.0442783820108)
('PWSUPWGT', 2899.6502304219016)
('PWVETWGT', 2579.2807601805698)


Class 3
('GEREG', 2.6949844399161393)
('GESTCEN', 57.160403277703246)
('GESTFIPS', 26.260534726963467)
('GTCBSA', 26234.049841769927)
('GTCBSASZ', 3.6138756681003166)
('GTCO', 27.540716552869373)
('GTINDVPC', 0.13320538078208577)
('GTMETSTA', 1.2123600104436956)
('HEFAMINC', 7.3378587221585434)
('HEHOUSUT', 1.2818548281906019)
('HES1A', 1.0888048477362069)
('HES1B', 1.6158246243153389)
('HES1C', 1.5250938951638775)
('HES1D', 1.872586329759399)
('HES8B', 1.4575387444752423)
('HES9', 1.0714292354638228)
('HESC3', 0.92663289307840235)
('HESC3A', 0.019286524369596728)
('HESC4', 1.0965292689573989)
('HESCF3', 0.1004010276944316)
('HETENURE', 1.6274108429734218)
